Cause,time,est,Risk,CVDRx,LiverRx,estRx,Stage,Age
Other,0,0,Base case,0,0,0,F2,45
Other,0.4,0.08999999999999997,Base case,0,0,0.08999999999999997,F2,45
Other,0.8,0.26999999999999985,Base case,0,0,0.26999999999999985,F2,45
Other,1.2,0.3599999999999997,Base case,0,0,0.3599999999999997,F2,45
Other,1.6,0.4299999999999997,Base case,0,0,0.4299999999999997,F2,45
Other,2,0.54,Base case,0,0,0.54,F2,45
Other,2.4,0.6500000000000004,Base case,0,0,0.6500000000000004,F2,45
Other,2.8,0.7899999999999997,Base case,0,0,0.7899999999999997,F2,45
Other,3.2,0.9499999999999987,Base case,0,0,0.9499999999999987,F2,45
Other,3.6,1.1099999999999979,Base case,0,0,1.1099999999999979,F2,45
Other,4,1.269999999999997,Base case,0,0,1.269999999999997,F2,45
Other,4.4,1.4599999999999957,Base case,0,0,1.4599999999999957,F2,45
Other,4.8,1.6699999999999944,Base case,0,0,1.6699999999999944,F2,45
Other,5.2,1.7799999999999938,Base case,0,0,1.7799999999999938,F2,45
Other,5.6,1.8799999999999932,Base case,0,0,1.8799999999999932,F2,45
Other,6,2.109999999999992,Base case,0,0,2.109999999999992,F2,45
Other,6.4,2.3399999999999905,Base case,0,0,2.3399999999999905,F2,45
Other,6.8,2.559999999999989,Base case,0,0,2.559999999999989,F2,45
Other,7.2,2.8699999999999872,Base case,0,0,2.8699999999999872,F2,45
Other,7.6,3.049999999999986,Base case,0,0,3.049999999999986,F2,45
Other,8,3.26999999999999,Base case,0,0,3.26999999999999,F2,45
Other,8.4,3.579999999999997,Base case,0,0,3.579999999999997,F2,45
Other,8.8,3.7600000000000016,Base case,0,0,3.7600000000000016,F2,45
Other,9.2,4.010000000000009,Base case,0,0,4.010000000000009,F2,45
Other,9.6,4.290000000000016,Base case,0,0,4.290000000000016,F2,45
Other,10,4.610000000000023,Base case,0,0,4.610000000000023,F2,45
Liver,0,0,Base case,0,0,0,F2,45
Liver,0.4,0.039999999999999994,Base case,0,0,0.039999999999999994,F2,45
Liver,0.8,0.07999999999999997,Base case,0,0,0.07999999999999997,F2,45
Liver,1.2,0.10999999999999995,Base case,0,0,0.10999999999999995,F2,45
Liver,1.6,0.1999999999999998,Base case,0,0,0.1999999999999998,F2,45
Liver,2,0.27999999999999964,Base case,0,0,0.27999999999999964,F2,45
Liver,2.4,0.3399999999999995,Base case,0,0,0.3399999999999995,F2,45
Liver,2.8,0.4099999999999994,Base case,0,0,0.4099999999999994,F2,45
Liver,3.2,0.4499999999999992,Base case,0,0,0.4499999999999992,F2,45
Liver,3.6,0.5099999999999988,Base case,0,0,0.5099999999999988,F2,45
Liver,4,0.5599999999999985,Base case,0,0,0.5599999999999985,F2,45
Liver,4.4,0.5999999999999983,Base case,0,0,0.5999999999999983,F2,45
Liver,4.8,0.7099999999999976,Base case,0,0,0.7099999999999976,F2,45
Liver,5.2,0.7599999999999973,Base case,0,0,0.7599999999999973,F2,45
Liver,5.6,0.7799999999999971,Base case,0,0,0.7799999999999971,F2,45
Liver,6,0.8299999999999969,Base case,0,0,0.8299999999999969,F2,45
Liver,6.4,0.8899999999999966,Base case,0,0,0.8899999999999966,F2,45
Liver,6.8,0.9399999999999962,Base case,0,0,0.9399999999999962,F2,45
Liver,7.2,1.0299999999999956,Base case,0,0,1.0299999999999956,F2,45
Liver,7.6,1.1099999999999952,Base case,0,0,1.1099999999999952,F2,45
Liver,8,1.149999999999995,Base case,0,0,1.149999999999995,F2,45
Liver,8.4,1.1899999999999946,Base case,0,0,1.1899999999999946,F2,45
Liver,8.8,1.2399999999999944,Base case,0,0,1.2399999999999944,F2,45
Liver,9.2,1.3299999999999939,Base case,0,0,1.3299999999999939,F2,45
Liver,9.6,1.3899999999999935,Base case,0,0,1.3899999999999935,F2,45
Liver,10,1.4299999999999933,Base case,0,0,1.4299999999999933,F2,45
Other,0,0,Base case,0.95,0,0,F2,45
Other,0.4,0.08999999999999997,Base case,0.95,0,0.03847499999999999,F2,45
Other,0.8,0.26999999999999985,Base case,0.95,0,0.11542499999999993,F2,45
Other,1.2,0.3599999999999997,Base case,0.95,0,0.15389999999999987,F2,45
Other,1.6,0.4299999999999997,Base case,0.95,0,0.18382499999999988,F2,45
Other,2,0.54,Base case,0.95,0,0.23085000000000003,F2,45
Other,2.4,0.6500000000000004,Base case,0.95,0,0.27787500000000015,F2,45
Other,2.8,0.7899999999999997,Base case,0.95,0,0.3377249999999999,F2,45
Other,3.2,0.9499999999999987,Base case,0.95,0,0.4061249999999995,F2,45
Other,3.6,1.1099999999999979,Base case,0.95,0,0.474524999999999,F2,45
Other,4,1.269999999999997,Base case,0.95,0,0.5429249999999987,F2,45
