Cause,time,est,Risk,CVDRx,LiverRx,estRx,Stage,Age
Other,10,6.660000000000061,Base case,0,0,6.660000000000061,F4,45
Liver,10,17.319999999999872,Base case,0,0,17.319999999999872,F4,45
Other,10,6.660000000000061,Base case,0.95,0,1.8981000000000174,F4,45
Liver,10,17.319999999999872,Base case,0.95,0,17.319999999999872,F4,45
Other,10,6.660000000000061,Base case,0.9,0,1.798200000000017,F4,45
Liver,10,17.319999999999872,Base case,0.9,0,17.319999999999872,F4,45
Other,10,6.660000000000061,Base case,0.85,0,1.6983000000000157,F4,45
Liver,10,17.319999999999872,Base case,0.85,0,17.319999999999872,F4,45
Other,10,6.660000000000061,Base case,1,0.1,1.9980000000000184,F4,45
Liver,10,17.319999999999872,Base case,1,0.1,15.587999999999886,F4,45
Other,10,6.660000000000061,Base case,1,0.2,1.9980000000000184,F4,45
Liver,10,17.319999999999872,Base case,1,0.2,13.855999999999899,F4,45
Other,10,6.660000000000061,Base case,1,0.3,1.9980000000000184,F4,45
Liver,10,17.319999999999872,Base case,1,0.3,12.12399999999991,F4,45
Other,10,6.660000000000061,Base case,1,0.4,1.9980000000000184,F4,45
Liver,10,17.319999999999872,Base case,1,0.4,10.391999999999921,F4,45
Other,10,6.660000000000061,Base case,1,0.5,1.9980000000000184,F4,45
Liver,10,17.319999999999872,Base case,1,0.5,8.659999999999936,F4,45
Other,10,6.660000000000061,Base case,1,0.6,1.9980000000000184,F4,45
Liver,10,17.319999999999872,Base case,1,0.6,6.927999999999949,F4,45
Other,10,6.660000000000061,Base case,1,0.7,1.9980000000000184,F4,45
Liver,10,17.319999999999872,Base case,1,0.7,5.195999999999962,F4,45
Other,10,6.660000000000061,Base case,0.95,0.1,1.8981000000000174,F4,45
Liver,10,17.319999999999872,Base case,0.95,0.1,15.587999999999886,F4,45
Other,10,6.660000000000061,Base case,0.95,0.2,1.8981000000000174,F4,45
Liver,10,17.319999999999872,Base case,0.95,0.2,13.855999999999899,F4,45
Other,10,6.660000000000061,Base case,0.95,0.3,1.8981000000000174,F4,45
Liver,10,17.319999999999872,Base case,0.95,0.3,12.12399999999991,F4,45
Other,10,6.660000000000061,Base case,0.95,0.4,1.8981000000000174,F4,45
Liver,10,17.319999999999872,Base case,0.95,0.4,10.391999999999921,F4,45
Other,10,6.660000000000061,Base case,0.95,0.5,1.8981000000000174,F4,45
Liver,10,17.319999999999872,Base case,0.95,0.5,8.659999999999936,F4,45
Other,10,6.660000000000061,Base case,0.95,0.6,1.8981000000000174,F4,45
Liver,10,17.319999999999872,Base case,0.95,0.6,6.927999999999949,F4,45
Other,10,6.660000000000061,Base case,0.95,0.7,1.8981000000000174,F4,45
Liver,10,17.319999999999872,Base case,0.95,0.7,5.195999999999962,F4,45
Other,10,6.660000000000061,Base case,0.9,0.1,1.798200000000017,F4,45
Liver,10,17.319999999999872,Base case,0.9,0.1,15.587999999999886,F4,45
Other,10,6.660000000000061,Base case,0.9,0.2,1.798200000000017,F4,45
Liver,10,17.319999999999872,Base case,0.9,0.2,13.855999999999899,F4,45
Other,10,6.660000000000061,Base case,0.9,0.3,1.798200000000017,F4,45
Liver,10,17.319999999999872,Base case,0.9,0.3,12.12399999999991,F4,45
Other,10,6.660000000000061,Base case,0.9,0.4,1.798200000000017,F4,45
Liver,10,17.319999999999872,Base case,0.9,0.4,10.391999999999921,F4,45
Other,10,6.660000000000061,Base case,0.9,0.5,1.798200000000017,F4,45
Liver,10,17.319999999999872,Base case,0.9,0.5,8.659999999999936,F4,45
Other,10,6.660000000000061,Base case,0.9,0.6,1.798200000000017,F4,45
Liver,10,17.319999999999872,Base case,0.9,0.6,6.927999999999949,F4,45
Other,10,6.660000000000061,Base case,0.9,0.7,1.798200000000017,F4,45
Liver,10,17.319999999999872,Base case,0.9,0.7,5.195999999999962,F4,45
Other,10,6.660000000000061,Base case,0.85,0.1,1.6983000000000157,F4,45
Liver,10,17.319999999999872,Base case,0.85,0.1,15.587999999999886,F4,45
Other,10,6.660000000000061,Base case,0.85,0.2,1.6983000000000157,F4,45
Liver,10,17.319999999999872,Base case,0.85,0.2,13.855999999999899,F4,45
Other,10,6.660000000000061,Base case,0.85,0.3,1.6983000000000157,F4,45
Liver,10,17.319999999999872,Base case,0.85,0.3,12.12399999999991,F4,45
Other,10,6.660000000000061,Base case,0.85,0.4,1.6983000000000157,F4,45
Liver,10,17.319999999999872,Base case,0.85,0.4,10.391999999999921,F4,45
Other,10,6.660000000000061,Base case,0.85,0.5,1.6983000000000157,F4,45
Liver,10,17.319999999999872,Base case,0.85,0.5,8.659999999999936,F4,45
Other,10,6.660000000000061,Base case,0.85,0.6,1.6983000000000157,F4,45
Liver,10,17.319999999999872,Base case,0.85,0.6,6.927999999999949,F4,45
Other,10,6.660000000000061,Base case,0.85,0.7,1.6983000000000157,F4,45
Liver,10,17.319999999999872,Base case,0.85,0.7,5.195999999999962,F4,45
Other,10,6.660000000000061,Base case,1.05,0.1,2.0979000000000196,F4,45
Liver,10,17.319999999999872,Base case,1.05,0.1,15.587999999999886,F4,45
Other,10,6.660000000000061,Base case,1.05,0.2,2.0979000000000196,F4,45
Liver,10,17.319999999999872,Base case,1.05,0.2,13.855999999999899,F4,45
Other,10,6.660000000000061,Base case,1.05,0.3,2.0979000000000196,F4,45
Liver,10,17.319999999999872,Base case,1.05,0.3,12.12399999999991,F4,45
Other,10,6.660000000000061,Base case,1.05,0.4,2.0979000000000196,F4,45
Liver,10,17.319999999999872,Base case,1.05,0.4,10.391999999999921,F4,45
Other,10,6.660000000000061,Base case,1.1,0.5,2.1978000000000204,F4,45
Liver,10,17.319999999999872,Base case,1.1,0.5,8.659999999999936,F4,45
Other,10,6.660000000000061,Base case,1.05,0.6,2.0979000000000196,F4,45
Liver,10,17.319999999999872,Base case,1.05,0.6,6.927999999999949,F4,45
Other,10,6.660000000000061,Base case,1.05,0.7,2.0979000000000196,F4,45
Liver,10,17.319999999999872,Base case,1.05,0.7,5.195999999999962,F4,45
Other,10,6.660000000000061,Base case,1.1,0.1,2.1978000000000204,F4,45
Liver,10,17.319999999999872,Base case,1.1,0.1,15.587999999999886,F4,45
Other,10,6.660000000000061,Base case,1.1,0.2,2.1978000000000204,F4,45
Liver,10,17.319999999999872,Base case,1.1,0.2,13.855999999999899,F4,45
