Cause,time,est,Risk,LiverRx,estRx,Stage,Age
Decompensation,0,0,Base case,0,0,F3,45
Decompensation,0.4,0.23999999999999994,Base case,0,0.23999999999999994,F3,45
Decompensation,0.8,0.5600000000000002,Base case,0,0.5600000000000002,F3,45
Decompensation,1.2,0.8400000000000003,Base case,0,0.8400000000000003,F3,45
Decompensation,1.6,1.049999999999999,Base case,0,1.049999999999999,F3,45
Decompensation,2,1.2699999999999978,Base case,0,1.2699999999999978,F3,45
Decompensation,2.4,1.4699999999999966,Base case,0,1.4699999999999966,F3,45
Decompensation,2.8,1.6499999999999955,Base case,0,1.6499999999999955,F3,45
Decompensation,3.2,1.8599999999999943,Base case,0,1.8599999999999943,F3,45
Decompensation,3.6,2.1199999999999926,Base case,0,2.1199999999999926,F3,45
Decompensation,4,2.3599999999999914,Base case,0,2.3599999999999914,F3,45
Decompensation,4.4,2.58999999999999,Base case,0,2.58999999999999,F3,45
Decompensation,4.8,2.8399999999999883,Base case,0,2.8399999999999883,F3,45
Decompensation,5.2,3.039999999999987,Base case,0,3.039999999999987,F3,45
Decompensation,5.6,3.259999999999991,Base case,0,3.259999999999991,F3,45
Decompensation,6,3.4299999999999944,Base case,0,3.4299999999999944,F3,45
Decompensation,6.4,3.6600000000000006,Base case,0,3.6600000000000006,F3,45
Decompensation,6.8,3.920000000000007,Base case,0,3.920000000000007,F3,45
Decompensation,7.2,4.080000000000011,Base case,0,4.080000000000011,F3,45
Decompensation,7.6,4.280000000000015,Base case,0,4.280000000000015,F3,45
Decompensation,8,4.550000000000022,Base case,0,4.550000000000022,F3,45
Decompensation,8.4,4.780000000000029,Base case,0,4.780000000000029,F3,45
Decompensation,8.8,4.980000000000033,Base case,0,4.980000000000033,F3,45
Decompensation,9.2,5.280000000000041,Base case,0,5.280000000000041,F3,45
Decompensation,9.6,5.520000000000047,Base case,0,5.520000000000047,F3,45
Decompensation,10,5.72000000000005,Base case,0,5.72000000000005,F3,45
HCC,0,0,Base case,0,0,F3,45
HCC,0.4,0.1,Base case,0,0.1,F3,45
HCC,0.8,0.19000000000000003,Base case,0,0.19000000000000003,F3,45
HCC,1.2,0.3099999999999999,Base case,0,0.3099999999999999,F3,45
HCC,1.6,0.3799999999999998,Base case,0,0.3799999999999998,F3,45
HCC,2,0.4199999999999997,Base case,0,0.4199999999999997,F3,45
HCC,2.4,0.5299999999999998,Base case,0,0.5299999999999998,F3,45
HCC,2.8,0.5599999999999999,Base case,0,0.5599999999999999,F3,45
HCC,3.2,0.6200000000000001,Base case,0,0.6200000000000001,F3,45
HCC,3.6,0.7000000000000003,Base case,0,0.7000000000000003,F3,45
HCC,4,0.7700000000000005,Base case,0,0.7700000000000005,F3,45
HCC,4.4,0.8000000000000004,Base case,0,0.8000000000000004,F3,45
HCC,4.8,0.86,Base case,0,0.86,F3,45
HCC,5.2,0.9399999999999995,Base case,0,0.9399999999999995,F3,45
HCC,5.6,1.0099999999999991,Base case,0,1.0099999999999991,F3,45
HCC,6,1.1599999999999984,Base case,0,1.1599999999999984,F3,45
HCC,6.4,1.219999999999998,Base case,0,1.219999999999998,F3,45
HCC,6.8,1.2699999999999978,Base case,0,1.2699999999999978,F3,45
HCC,7.2,1.3299999999999974,Base case,0,1.3299999999999974,F3,45
HCC,7.6,1.4099999999999968,Base case,0,1.4099999999999968,F3,45
HCC,8,1.5199999999999962,Base case,0,1.5199999999999962,F3,45
HCC,8.4,1.6199999999999957,Base case,0,1.6199999999999957,F3,45
HCC,8.8,1.6899999999999953,Base case,0,1.6899999999999953,F3,45
HCC,9.2,1.739999999999995,Base case,0,1.739999999999995,F3,45
HCC,9.6,1.7999999999999947,Base case,0,1.7999999999999947,F3,45
HCC,10,1.8499999999999943,Base case,0,1.8499999999999943,F3,45
Decompensation,0,0,Base case,0.1,0,F3,45
Decompensation,0.4,0.23999999999999994,Base case,0.1,0.21599999999999997,F3,45
Decompensation,0.8,0.5600000000000002,Base case,0.1,0.5040000000000002,F3,45
Decompensation,1.2,0.8400000000000003,Base case,0.1,0.7560000000000002,F3,45
Decompensation,1.6,1.049999999999999,Base case,0.1,0.9449999999999992,F3,45
Decompensation,2,1.2699999999999978,Base case,0.1,1.142999999999998,F3,45
Decompensation,2.4,1.4699999999999966,Base case,0.1,1.322999999999997,F3,45
Decompensation,2.8,1.6499999999999955,Base case,0.1,1.484999999999996,F3,45
Decompensation,3.2,1.8599999999999943,Base case,0.1,1.673999999999995,F3,45
Decompensation,3.6,2.1199999999999926,Base case,0.1,1.9079999999999935,F3,45
Decompensation,4,2.3599999999999914,Base case,0.1,2.123999999999992,F3,45
Decompensation,4.4,2.58999999999999,Base case,0.1,2.330999999999991,F3,45
Decompensation,4.8,2.8399999999999883,Base case,0.1,2.5559999999999894,F3,45
Decompensation,5.2,3.039999999999987,Base case,0.1,2.735999999999988,F3,45
Decompensation,5.6,3.259999999999991,Base case,0.1,2.9339999999999917,F3,45
Decompensation,6,3.4299999999999944,Base case,0.1,3.086999999999995,F3,45
Decompensation,6.4,3.6600000000000006,Base case,0.1,3.294000000000001,F3,45
Decompensation,6.8,3.920000000000007,Base case,0.1,3.5280000000000062,F3,45
Decompensation,7.2,4.080000000000011,Base case,0.1,3.67200000000001,F3,45
Decompensation,7.6,4.280000000000015,Base case,0.1,3.8520000000000145,F3,45
Decompensation,8,4.550000000000022,Base case,0.1,4.09500000000002,F3,45
Decompensation,8.4,4.780000000000029,Base case,0.1,4.302000000000026,F3,45
Decompensation,8.8,4.980000000000033,Base case,0.1,4.4820000000000295,F3,45
Decompensation,9.2,5.280000000000041,Base case,0.1,4.752000000000037,F3,45
Decompensation,9.6,5.520000000000047,Base case,0.1,4.968000000000042,F3,45
Decompensation,10,5.72000000000005,Base case,0.1,5.148000000000045,F3,45
HCC,0,0,Base case,0.1,0,F3,45
HCC,0.4,0.1,Base case,0.1,0.09000000000000001,F3,45
HCC,0.8,0.19000000000000003,Base case,0.1,0.17100000000000004,F3,45
HCC,1.2,0.3099999999999999,Base case,0.1,0.2789999999999999,F3,45
HCC,1.6,0.3799999999999998,Base case,0.1,0.3419999999999998,F3,45
HCC,2,0.4199999999999997,Base case,0.1,0.3779999999999997,F3,45
HCC,2.4,0.5299999999999998,Base case,0.1,0.4769999999999998,F3,45
HCC,2.8,0.5599999999999999,Base case,0.1,0.5039999999999999,F3,45
HCC,3.2,0.6200000000000001,Base case,0.1,0.558,F3,45
HCC,3.6,0.7000000000000003,Base case,0.1,0.6300000000000002,F3,45
HCC,4,0.7700000000000005,Base case,0.1,0.6930000000000004,F3,45
HCC,4.4,0.8000000000000004,Base case,0.1,0.7200000000000003,F3,45
HCC,4.8,0.86,Base case,0.1,0.774,F3,45
HCC,5.2,0.9399999999999995,Base case,0.1,0.8459999999999995,F3,45
HCC,5.6,1.0099999999999991,Base case,0.1,0.9089999999999993,F3,45
HCC,6,1.1599999999999984,Base case,0.1,1.0439999999999985,F3,45
HCC,6.4,1.219999999999998,Base case,0.1,1.0979999999999983,F3,45
HCC,6.8,1.2699999999999978,Base case,0.1,1.142999999999998,F3,45
HCC,7.2,1.3299999999999974,Base case,0.1,1.1969999999999976,F3,45
HCC,7.6,1.4099999999999968,Base case,0.1,1.2689999999999972,F3,45
HCC,8,1.5199999999999962,Base case,0.1,1.3679999999999966,F3,45
HCC,8.4,1.6199999999999957,Base case,0.1,1.4579999999999962,F3,45
HCC,8.8,1.6899999999999953,Base case,0.1,1.5209999999999957,F3,45
HCC,9.2,1.739999999999995,Base case,0.1,1.5659999999999956,F3,45
HCC,9.6,1.7999999999999947,Base case,0.1,1.6199999999999954,F3,45
HCC,10,1.8499999999999943,Base case,0.1,1.664999999999995,F3,45
Decompensation,0,0,Base case,0.2,0,F3,45
Decompensation,0.4,0.23999999999999994,Base case,0.2,0.19199999999999995,F3,45
Decompensation,0.8,0.5600000000000002,Base case,0.2,0.4480000000000001,F3,45
Decompensation,1.2,0.8400000000000003,Base case,0.2,0.6720000000000003,F3,45
Decompensation,1.6,1.049999999999999,Base case,0.2,0.8399999999999993,F3,45
Decompensation,2,1.2699999999999978,Base case,0.2,1.0159999999999982,F3,45
Decompensation,2.4,1.4699999999999966,Base case,0.2,1.1759999999999973,F3,45
Decompensation,2.8,1.6499999999999955,Base case,0.2,1.3199999999999965,F3,45
Decompensation,3.2,1.8599999999999943,Base case,0.2,1.4879999999999955,F3,45
Decompensation,3.6,2.1199999999999926,Base case,0.2,1.6959999999999944,F3,45
Decompensation,4,2.3599999999999914,Base case,0.2,1.8879999999999932,F3,45
Decompensation,4.4,2.58999999999999,Base case,0.2,2.071999999999992,F3,45
Decompensation,4.8,2.8399999999999883,Base case,0.2,2.2719999999999905,F3,45
Decompensation,5.2,3.039999999999987,Base case,0.2,2.4319999999999897,F3,45
Decompensation,5.6,3.259999999999991,Base case,0.2,2.6079999999999925,F3,45
Decompensation,6,3.4299999999999944,Base case,0.2,2.7439999999999953,F3,45
Decompensation,6.4,3.6600000000000006,Base case,0.2,2.928000000000001,F3,45
Decompensation,6.8,3.920000000000007,Base case,0.2,3.1360000000000054,F3,45
Decompensation,7.2,4.080000000000011,Base case,0.2,3.2640000000000087,F3,45
Decompensation,7.6,4.280000000000015,Base case,0.2,3.4240000000000124,F3,45
Decompensation,8,4.550000000000022,Base case,0.2,3.6400000000000174,F3,45
Decompensation,8.4,4.780000000000029,Base case,0.2,3.8240000000000234,F3,45
Decompensation,8.8,4.980000000000033,Base case,0.2,3.9840000000000266,F3,45
Decompensation,9.2,5.280000000000041,Base case,0.2,4.224000000000033,F3,45
Decompensation,9.6,5.520000000000047,Base case,0.2,4.416000000000038,F3,45
Decompensation,10,5.72000000000005,Base case,0.2,4.5760000000000405,F3,45
HCC,0,0,Base case,0.2,0,F3,45
HCC,0.4,0.1,Base case,0.2,0.08,F3,45
HCC,0.8,0.19000000000000003,Base case,0.2,0.15200000000000005,F3,45
HCC,1.2,0.3099999999999999,Base case,0.2,0.24799999999999994,F3,45
HCC,1.6,0.3799999999999998,Base case,0.2,0.3039999999999998,F3,45
HCC,2,0.4199999999999997,Base case,0.2,0.3359999999999998,F3,45
HCC,2.4,0.5299999999999998,Base case,0.2,0.4239999999999999,F3,45
HCC,2.8,0.5599999999999999,Base case,0.2,0.44799999999999995,F3,45
HCC,3.2,0.6200000000000001,Base case,0.2,0.4960000000000001,F3,45
HCC,3.6,0.7000000000000003,Base case,0.2,0.5600000000000003,F3,45
HCC,4,0.7700000000000005,Base case,0.2,0.6160000000000004,F3,45
HCC,4.4,0.8000000000000004,Base case,0.2,0.6400000000000003,F3,45
HCC,4.8,0.86,Base case,0.2,0.6880000000000001,F3,45
HCC,5.2,0.9399999999999995,Base case,0.2,0.7519999999999997,F3,45
HCC,5.6,1.0099999999999991,Base case,0.2,0.8079999999999994,F3,45
HCC,6,1.1599999999999984,Base case,0.2,0.9279999999999988,F3,45
HCC,6.4,1.219999999999998,Base case,0.2,0.9759999999999984,F3,45
HCC,6.8,1.2699999999999978,Base case,0.2,1.0159999999999982,F3,45
HCC,7.2,1.3299999999999974,Base case,0.2,1.0639999999999978,F3,45
HCC,7.6,1.4099999999999968,Base case,0.2,1.1279999999999977,F3,45
HCC,8,1.5199999999999962,Base case,0.2,1.2159999999999969,F3,45
HCC,8.4,1.6199999999999957,Base case,0.2,1.2959999999999967,F3,45
HCC,8.8,1.6899999999999953,Base case,0.2,1.3519999999999963,F3,45
HCC,9.2,1.739999999999995,Base case,0.2,1.391999999999996,F3,45
HCC,9.6,1.7999999999999947,Base case,0.2,1.4399999999999957,F3,45
HCC,10,1.8499999999999943,Base case,0.2,1.4799999999999955,F3,45
Decompensation,0,0,Base case,0.3,0,F3,45
Decompensation,0.4,0.23999999999999994,Base case,0.3,0.16799999999999995,F3,45
Decompensation,0.8,0.5600000000000002,Base case,0.3,0.39200000000000007,F3,45
Decompensation,1.2,0.8400000000000003,Base case,0.3,0.5880000000000002,F3,45
Decompensation,1.6,1.049999999999999,Base case,0.3,0.7349999999999993,F3,45
Decompensation,2,1.2699999999999978,Base case,0.3,0.8889999999999983,F3,45
Decompensation,2.4,1.4699999999999966,Base case,0.3,1.0289999999999977,F3,45
Decompensation,2.8,1.6499999999999955,Base case,0.3,1.154999999999997,F3,45
Decompensation,3.2,1.8599999999999943,Base case,0.3,1.3019999999999958,F3,45
Decompensation,3.6,2.1199999999999926,Base case,0.3,1.4839999999999949,F3,45
Decompensation,4,2.3599999999999914,Base case,0.3,1.6519999999999937,F3,45
Decompensation,4.4,2.58999999999999,Base case,0.3,1.8129999999999928,F3,45
Decompensation,4.8,2.8399999999999883,Base case,0.3,1.9879999999999918,F3,45
Decompensation,5.2,3.039999999999987,Base case,0.3,2.1279999999999912,F3,45
Decompensation,5.6,3.259999999999991,Base case,0.3,2.2819999999999934,F3,45
Decompensation,6,3.4299999999999944,Base case,0.3,2.400999999999996,F3,45
Decompensation,6.4,3.6600000000000006,Base case,0.3,2.5620000000000003,F3,45
Decompensation,6.8,3.920000000000007,Base case,0.3,2.744000000000004,F3,45
Decompensation,7.2,4.080000000000011,Base case,0.3,2.856000000000007,F3,45
Decompensation,7.6,4.280000000000015,Base case,0.3,2.9960000000000107,F3,45
Decompensation,8,4.550000000000022,Base case,0.3,3.1850000000000156,F3,45
Decompensation,8.4,4.780000000000029,Base case,0.3,3.3460000000000196,F3,45
Decompensation,8.8,4.980000000000033,Base case,0.3,3.4860000000000233,F3,45
Decompensation,9.2,5.280000000000041,Base case,0.3,3.6960000000000286,F3,45
Decompensation,9.6,5.520000000000047,Base case,0.3,3.864000000000032,F3,45
Decompensation,10,5.72000000000005,Base case,0.3,4.004000000000034,F3,45
HCC,0,0,Base case,0.3,0,F3,45
HCC,0.4,0.1,Base case,0.3,0.06999999999999999,F3,45
HCC,0.8,0.19000000000000003,Base case,0.3,0.13300000000000003,F3,45
HCC,1.2,0.3099999999999999,Base case,0.3,0.21699999999999992,F3,45
HCC,1.6,0.3799999999999998,Base case,0.3,0.26599999999999985,F3,45
HCC,2,0.4199999999999997,Base case,0.3,0.29399999999999976,F3,45
