Cause,time,est,Risk,CVDRx,LiverRx,estRx,Stage,Age
Other,10,4.610000000000023,Base case,0,0,4.610000000000023,F2,45
Liver,10,1.4299999999999933,Base case,0,0,1.4299999999999933,F2,45
Other,10,4.610000000000023,Base case,0.95,0,1.9707750000000097,F2,45
Liver,10,1.4299999999999933,Base case,0.95,0,1.4299999999999933,F2,45
Other,10,4.610000000000023,Base case,0.9,0,1.8670500000000094,F2,45
Liver,10,1.4299999999999933,Base case,0.9,0,1.4299999999999933,F2,45
Other,10,4.610000000000023,Base case,0.85,0,1.7633250000000087,F2,45
Liver,10,1.4299999999999933,Base case,0.85,0,1.4299999999999933,F2,45
Other,10,4.610000000000023,Base case,1,0.1,2.0745000000000102,F2,45
Liver,10,1.4299999999999933,Base case,1,0.1,1.286999999999994,F2,45
Other,10,4.610000000000023,Base case,1,0.2,2.0745000000000102,F2,45
Liver,10,1.4299999999999933,Base case,1,0.2,1.1439999999999946,F2,45
Other,10,4.610000000000023,Base case,1,0.3,2.0745000000000102,F2,45
Liver,10,1.4299999999999933,Base case,1,0.3,1.0009999999999952,F2,45
Other,10,4.610000000000023,Base case,1,0.4,2.0745000000000102,F2,45
Liver,10,1.4299999999999933,Base case,1,0.4,0.8579999999999959,F2,45
Other,10,4.610000000000023,Base case,1,0.5,2.0745000000000102,F2,45
Liver,10,1.4299999999999933,Base case,1,0.5,0.7149999999999966,F2,45
Other,10,4.610000000000023,Base case,1,0.6,2.0745000000000102,F2,45
Liver,10,1.4299999999999933,Base case,1,0.6,0.5719999999999973,F2,45
Other,10,4.610000000000023,Base case,1,0.7,2.0745000000000102,F2,45
Liver,10,1.4299999999999933,Base case,1,0.7,0.42899999999999805,F2,45
Other,10,4.610000000000023,Base case,0.95,0.1,1.9707750000000097,F2,45
Liver,10,1.4299999999999933,Base case,0.95,0.1,1.286999999999994,F2,45
Other,10,4.610000000000023,Base case,0.95,0.2,1.9707750000000097,F2,45
Liver,10,1.4299999999999933,Base case,0.95,0.2,1.1439999999999946,F2,45
Other,10,4.610000000000023,Base case,0.95,0.3,1.9707750000000097,F2,45
Liver,10,1.4299999999999933,Base case,0.95,0.3,1.0009999999999952,F2,45
Other,10,4.610000000000023,Base case,0.95,0.4,1.9707750000000097,F2,45
Liver,10,1.4299999999999933,Base case,0.95,0.4,0.8579999999999959,F2,45
Other,10,4.610000000000023,Base case,0.95,0.5,1.9707750000000097,F2,45
Liver,10,1.4299999999999933,Base case,0.95,0.5,0.7149999999999966,F2,45
Other,10,4.610000000000023,Base case,0.95,0.6,1.9707750000000097,F2,45
Liver,10,1.4299999999999933,Base case,0.95,0.6,0.5719999999999973,F2,45
Other,10,4.610000000000023,Base case,0.95,0.7,1.9707750000000097,F2,45
Liver,10,1.4299999999999933,Base case,0.95,0.7,0.42899999999999805,F2,45
Other,10,4.610000000000023,Base case,0.9,0.1,1.8670500000000094,F2,45
Liver,10,1.4299999999999933,Base case,0.9,0.1,1.286999999999994,F2,45
Other,10,4.610000000000023,Base case,0.9,0.2,1.8670500000000094,F2,45
Liver,10,1.4299999999999933,Base case,0.9,0.2,1.1439999999999946,F2,45
Other,10,4.610000000000023,Base case,0.9,0.3,1.8670500000000094,F2,45
Liver,10,1.4299999999999933,Base case,0.9,0.3,1.0009999999999952,F2,45
Other,10,4.610000000000023,Base case,0.9,0.4,1.8670500000000094,F2,45
Liver,10,1.4299999999999933,Base case,0.9,0.4,0.8579999999999959,F2,45
Other,10,4.610000000000023,Base case,0.9,0.5,1.8670500000000094,F2,45
Liver,10,1.4299999999999933,Base case,0.9,0.5,0.7149999999999966,F2,45
Other,10,4.610000000000023,Base case,0.9,0.6,1.8670500000000094,F2,45
Liver,10,1.4299999999999933,Base case,0.9,0.6,0.5719999999999973,F2,45
Other,10,4.610000000000023,Base case,0.9,0.7,1.8670500000000094,F2,45
Liver,10,1.4299999999999933,Base case,0.9,0.7,0.42899999999999805,F2,45
Other,10,4.610000000000023,Base case,0.85,0.1,1.7633250000000087,F2,45
Liver,10,1.4299999999999933,Base case,0.85,0.1,1.286999999999994,F2,45
Other,10,4.610000000000023,Base case,0.85,0.2,1.7633250000000087,F2,45
Liver,10,1.4299999999999933,Base case,0.85,0.2,1.1439999999999946,F2,45
Other,10,4.610000000000023,Base case,0.85,0.3,1.7633250000000087,F2,45
Liver,10,1.4299999999999933,Base case,0.85,0.3,1.0009999999999952,F2,45
Other,10,4.610000000000023,Base case,0.85,0.4,1.7633250000000087,F2,45
Liver,10,1.4299999999999933,Base case,0.85,0.4,0.8579999999999959,F2,45
Other,10,4.610000000000023,Base case,0.85,0.5,1.7633250000000087,F2,45
Liver,10,1.4299999999999933,Base case,0.85,0.5,0.7149999999999966,F2,45
Other,10,4.610000000000023,Base case,0.85,0.6,1.7633250000000087,F2,45
Liver,10,1.4299999999999933,Base case,0.85,0.6,0.5719999999999973,F2,45
Other,10,4.610000000000023,Base case,0.85,0.7,1.7633250000000087,F2,45
Liver,10,1.4299999999999933,Base case,0.85,0.7,0.42899999999999805,F2,45
Other,10,4.610000000000023,Base case,1.05,0.1,2.178225000000011,F2,45
Liver,10,1.4299999999999933,Base case,1.05,0.1,1.286999999999994,F2,45
Other,10,4.610000000000023,Base case,1.05,0.2,2.178225000000011,F2,45
Liver,10,1.4299999999999933,Base case,1.05,0.2,1.1439999999999946,F2,45
Other,10,4.610000000000023,Base case,1.05,0.3,2.178225000000011,F2,45
Liver,10,1.4299999999999933,Base case,1.05,0.3,1.0009999999999952,F2,45
Other,10,4.610000000000023,Base case,1.05,0.4,2.178225000000011,F2,45
Liver,10,1.4299999999999933,Base case,1.05,0.4,0.8579999999999959,F2,45
Other,10,4.610000000000023,Base case,1.1,0.5,2.2819500000000117,F2,45
Liver,10,1.4299999999999933,Base case,1.1,0.5,0.7149999999999966,F2,45
Other,10,4.610000000000023,Base case,1.05,0.6,2.178225000000011,F2,45
Liver,10,1.4299999999999933,Base case,1.05,0.6,0.5719999999999973,F2,45
Other,10,4.610000000000023,Base case,1.05,0.7,2.178225000000011,F2,45
Liver,10,1.4299999999999933,Base case,1.05,0.7,0.42899999999999805,F2,45
Other,10,4.610000000000023,Base case,1.1,0.1,2.2819500000000117,F2,45
Liver,10,1.4299999999999933,Base case,1.1,0.1,1.286999999999994,F2,45
Other,10,4.610000000000023,Base case,1.1,0.2,2.2819500000000117,F2,45
Liver,10,1.4299999999999933,Base case,1.1,0.2,1.1439999999999946,F2,45
Other,10,4.610000000000023,Base case,1.1,0.3,2.2819500000000117,F2,45
Liver,10,1.4299999999999933,Base case,1.1,0.3,1.0009999999999952,F2,45
Other,10,4.610000000000023,Base case,1.1,0.4,2.2819500000000117,F2,45
Liver,10,1.4299999999999933,Base case,1.1,0.4,0.8579999999999959,F2,45
Other,10,4.610000000000023,Base case,1.05,0.5,2.178225000000011,F2,45
Liver,10,1.4299999999999933,Base case,1.05,0.5,0.7149999999999966,F2,45
Other,10,4.610000000000023,Base case,1.1,0.6,2.2819500000000117,F2,45
Liver,10,1.4299999999999933,Base case,1.1,0.6,0.5719999999999973,F2,45
Other,10,4.610000000000023,Base case,1.1,0.7,2.2819500000000117,F2,45
Liver,10,1.4299999999999933,Base case,1.1,0.7,0.42899999999999805,F2,45
Other,10,12.5500000000002,Base case,0,0,12.5500000000002,F2,55
Liver,10,1.5099999999999965,Base case,0,0,1.5099999999999965,F2,55
Other,10,12.5500000000002,Base case,0.95,0,5.365125000000085,F2,55
Liver,10,1.5099999999999965,Base case,0.95,0,1.5099999999999965,F2,55
Other,10,12.5500000000002,Base case,0.9,0,5.082750000000081,F2,55
Liver,10,1.5099999999999965,Base case,0.9,0,1.5099999999999965,F2,55
Other,10,12.5500000000002,Base case,0.85,0,4.800375000000076,F2,55
Liver,10,1.5099999999999965,Base case,0.85,0,1.5099999999999965,F2,55
Other,10,12.5500000000002,Base case,1,0.1,5.64750000000009,F2,55
Liver,10,1.5099999999999965,Base case,1,0.1,1.3589999999999969,F2,55
Other,10,12.5500000000002,Base case,1,0.2,5.64750000000009,F2,55
